"Name","Short Name","Description","Types","Latitude","Longitude"
GRUP-E3,GRUP-E3,point,"Point Count Point",39.39229,-121.506332
GRUP-E4,GRUP-E4,point,"Point Count Point",39.396831,-121.509138
GRUP-E5,GRUP-E5,point,"Point Count Point",39.394653,-121.51499
GRUP-E6,GRUP-E6,point,"Point Count Point",39.399231,-121.5207
GRUP-N1,GRUP-N1,point,"Point Count Point",39.399451,-121.538115
GRUP-N2,GRUP-N2,point,"Point Count Point",39.399378,-121.53231
GRUP-N3,GRUP-N3,point,"Point Count Point",39.399881,-121.526493
GRUP-N4,GRUP-N4,point,"Point Count Point",39.407691,-121.532078
GRUP-N5,GRUP-N5,point,"Point Count Point",39.407927,-121.535035
GRUP-S1,GRUP-S1,point,"Point Count Point",39.390443,-121.538303
GRUP-S2,GRUP-S2,point,"Point Count Point",39.390334,-121.529597
GRUP-W1,GRUP-W1,point,"Point Count Point",39.390661,-121.555717
GRUP-W2,GRUP-W2,point,"Point Count Point",39.396718,-121.54219
GRUP-W3,GRUP-W3,point,"Point Count Point",39.391958,-121.544867
BARH,BARH,,"Point Count Transect",39.11232989797,-121.14793990556
ELRA,ELRA,,"Point Count Transect",39.08669854122,-121.23821127734
ELRA-01,ELRA-01,point,"Point Count Point",39.08669854122,-121.23821127734
ELRA-02,ELRA-02,point,"Point Count Point",39.088950278942,-121.23815524175
ELRA-03,ELRA-03,point,"Point Count Point",39.091202015725,-121.23809919988
ELRA-04,ELRA-04,point,"Point Count Point",39.091158304393,-121.23520974729
ELRA-05,ELRA-05,point,"Point Count Point",39.091114521499,-121.23232030097
ELRA-06,ELRA-06,point,"Point Count Point",39.088862791697,-121.23237652642
ELRA-07,ELRA-07,point,"Point Count Point",39.086462000003,-121.232498
ELRA-08,ELRA-08,point,"Point Count Point",39.082195062956,-121.2383233297
ELRA-09,ELRA-09,point,"Point Count Point",39.084490431882,-121.24115649019
ELRA-10,ELRA-10,point,"Point Count Point",39.079943322415,-121.23837934647
ELRA-11,ELRA-11,point,"Point Count Point",39.079986944777,-121.24126834649
ELRA-12,ELRA-12,point,"Point Count Point",39.080030495603,-121.24415735277
ELRA-14,ELRA-14,point,"Point Count Point",39.073275247477,-121.24432481508
ELRA-15,ELRA-15,point,"Point Count Point",39.073188095154,-121.23854735916
ELRA-16,ELRA-16,point,"Point Count Point",39.073144411716,-121.23565864059
ELRA-17,ELRA-17,point,"Point Count Point",39.07539615159,-121.23560255092
ELRA-18,ELRA-18,point,"Point Count Point",39.077691580934,-121.23843535697
ELRA-13,ELRA-13,point,"Point Count Point",39.077842,-121.247058
BARH-01,BARH-01,point,"Point Count Point",39.105620929101,-121.15100664691
BARH-02,BARH-02,point,"Point Count Point",39.105575045474,-121.14811674469
BARH-03,BARH-03,point,"Point Count Point",39.107858000003,-121.147645
BARH-04,BARH-04,point,"Point Count Point",39.110078281418,-121.14799885854
BARH-05,BARH-05,point,"Point Count Point",39.11232989797,-121.14793990556
"TULARE County",TULARE,"Ranches in Tulare County","Study Area",,
TUL-15-01,TUL-15-01,"Buckeye Ranch","Study Area",,
TUL-15-02,TUL-15-02,"River Ridge Ranch","Study Area",,
RRRA,RRRA,,"Point Count Transect",,
TUL-15-03,TUL-15-03,"Homer Ranch Preserve","Study Area",,
RRRA-01,RRRA-01,point,"Point Count Point",36.159449801887,-118.79404531974
RRRA-03,RRRA-03,point,"Point Count Point",36.146015977734,-118.78818214073
RRRA-04,RRRA-04,point,"Point Count Point",36.154944164139,-118.79394264622
RRRA-08,RRRA-08,point,"Point Count Point",36.148227286294,-118.79101098875
RRRA-10,RRRA-10,point,"Point Count Point",36.148310264386,-118.78545559185
RRRA-11,RRRA-11,point,"Point Count Point",36.152732936342,-118.79111346935
RRRA-12,RRRA-12,point,"Point Count Point",36.150480111774,-118.79106222621
RRRA-13,RRRA-13,point,"Point Count Point",36.157196983469,-118.79399398013
RRRA-15,RRRA-15,point,"Point Count Point",36.152691343896,-118.79389131801
RRRA-20,RRRA-20,point,"Point Count Point",36.150438522741,-118.7938399955
BUT-14-01,BUT-14-01,"Oak woodland, savannah, and annual and perennial grassland with small riparian corridor and rocky outcrops; year round intensively managed sheep operation with a handful of cattle ","Study Area",39.376339586145,-121.50217745602
BUT-15-02,BUT-15-02,"Annual grassland with intermittent creek and wetland, year round intensively managed sheep operation","Study Area",39.873180995417,-121.89378919235
ELST,ELST,point,"Point Count Transect",39.116509809464,-121.12758963435
ELST-01,ELST-01,point,"Point Count Point",39.116509809464,-121.12758963435
ELST-02,ELST-02,point,"Point Count Point",39.118761397384,-121.12753001829
ELST-03,ELST-03,point,"Point Count Point",39.123264570379,-121.12741076613
ELST-04,ELST-04,point,"Point Count Point",39.125516155454,-121.12735113003
ELST-05,ELST-05,point,"Point Count Point",39.116970238914,-121.11595143122
ELST-06,ELST-06,point,"Point Count Point",39.11646333461,-121.12469932591
ELST-07,ELST-07,point,"Point Count Point",39.118201000003,-121.119238
ELST-08,ELST-08,point,"Point Count Point",39.120992000003,-121.118844
SIFA,SIFA,,"Point Count Transect",39.37852,-121.501809
SF02-01,SF02-01,point,"Point Count Point",39.37852,-121.501809
SF02-03,SF02-03,point,"Point Count Point",39.378938,-121.496981
SF02-04,SF02-04,point,"Point Count Point",39.378944,-121.493947
SF03-03,SF03-03,point,"Point Count Point",39.379113,-121.508138
SF04-01,SF04-01,point,"Point Count Point",39.375968,-121.499245
SF04-02,SF04-02,point,"Point Count Point",39.376004,-121.495046
SF05-04,SF05-04,point,"Point Count Point",39.37517,-121.510087
SF06-01,SF06-01,point,"Point Count Point",39.372549,-121.498849
SF06-03,SF06-03,point,"Point Count Point",39.370402,-121.494905
SF07-01,SF07-01,point,"Point Count Point",39.372326,-121.502933
SF07-05,SF07-05,point,"Point Count Point",39.371434,-121.51037
SF08-01,SF08-01,point,"Point Count Point",39.36763,-121.500171
SF08-02,SF08-02,point,"Point Count Point",39.367712,-121.49719
SF09-02,SF09-02,point,"Point Count Point",39.367878,-121.506533
SF09-03,SF09-03,point,"Point Count Point",39.36773,-121.509821
WORA,WORA,,"Point Count Transect",39.867449,-121.899451
WRSW-01,WRSW-01,point,"Point Count Point",39.867449,-121.899451
WRSW-02,WRSW-02,point,"Point Count Point",39.869701,-121.899415
WRSW-03,WRSW-03,point,"Point Count Point",39.871953,-121.899379
WR-S-01,WR-S-01,point,"Point Count Point",39.8719,-121.89385
WR-S-02,WR-S-02,point,"Point Count Point",39.871872,-121.890927
WR-S-03,WR-S-03,point,"Point Count Point",39.871844,-121.888004
WRWT-01,WRWT-01,point,"Point Count Point",39.874353,-121.893546
WRWT-02,WRWT-02,point,"Point Count Point",39.876605,-121.89351
WRWR-01,WRWR-01,point,"Point Count Point",39.878861,-121.89348
WRWR-02,WRWR-02,point,"Point Count Point",39.874329,-121.890629
WRWR-03,WRWR-03,point,"Point Count Point",39.876581,-121.890593
WR-W-01,WR-W-01,point,"Point Count Point",39.874205,-121.899343
WR-W-02,WR-W-02,point,"Point Count Point",39.876457,-121.899307
WR-W-03,WR-W-03,point,"Point Count Point",39.878709,-121.899271
GRUP-S3,GRUP-S3,point,"Point Count Point",39.397468,-121.526559
GC11,GC11,,"Point Count Transect",39.133410136551,-121.19944812421
GC14,GC14,,"Point Count Transect",39.142376308931,-121.19659933367
GC16,GC16,,"Point Count Transect",39.146294614294,-121.20528659661
GC17,GC17,,"Point Count Transect",39.155565803682,-121.20601971598
GC99,GC99,,"Point Count Transect",39.130811921377,-121.19399899725
GRRT,GRRT,,"Point Count Transect",39.394365915542,-121.55120757621
GRRT-01,GRRT-01,point,"Point Count Point",39.394365915542,-121.55120757621
GRRT-02,GRRT-02,point,"Point Count Point",39.394869410566,-121.54618338723
GRRT-03,GRRT-03,point,"Point Count Point",39.392347660375,-121.53360177187
GRRT-07,GRRT-07,point,"Point Count Point",39.397764985573,-121.51672925137
GRRT-08,GRRT-08,point,"Point Count Point",39.39899194219,-121.51390950157
GRRT-09,GRRT-09,point,"Point Count Point",39.400242062025,-121.51058458754
GRRT-10,GRRT-10,point,"Point Count Point",39.4012869999,-121.50780999978
GRRT-05,GRRT-05,point,"Point Count Point",39.39439799992,-121.52452899983
GRRT-06,GRRT-06,point,"Point Count Point",39.396267999918,-121.51921399982
GRRT-04,GRRT-04,point,"Point Count Point",39.392982999922,-121.52784099983
GC11-01,GC11-01,point,"Point Count Point",39.133410136551,-121.19944812421
GC11-02,GC11-02,point,"Point Count Point",39.137958124678,-121.20222469724
GC11-03,GC11-03,point,"Point Count Point",39.142506051588,-121.20500161903
GC11-04,GC11-04,point,"Point Count Point",39.135706449915,-121.20228197508
GC11-05,GC11-05,point,"Point Count Point",39.140209798498,-121.20216741299
GC14-01,GC14-01,point,"Point Count Point",39.142376308931,-121.19659933367
GC14-02,GC14-02,point,"Point Count Point",39.144627974073,-121.19654186119
GC14-03,GC14-03,point,"Point Count Point",39.146879638272,-121.19648438227
GC14-04,GC14-04,point,"Point Count Point",39.149131301527,-121.19642689692
GC14-05,GC14-05,point,"Point Count Point",39.149076363011,-121.1935166656
